id,point,type,granularity,granularitytimezone,activity,classification,capacity,volume,percentage,emission,emissionfactor,validfrom,validto,lastupdate,carbon_intensity_gco2_per_kwh,temperature_c_delft,temperature_source
67738088829,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,13190032,3297508,0.218193,209058,0.0633988,2025-01-01 00:00:00+00:00,2025-01-01 00:15:00+00:00,2026-03-18 07:21:42+00:00,63.39880000000001,9.6,Open-Meteo historical hourly archive interpolated to 15 minutes
67738088830,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,12747372,3186843,0.212574,209380,0.0657014,2025-01-01 00:15:00+00:00,2025-01-01 00:30:00+00:00,2026-03-18 07:21:42+00:00,65.70139999999999,9.6,Open-Meteo historical hourly archive interpolated to 15 minutes
67738179201,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,12456980,3114245,0.207732,208513,0.0669546,2025-01-01 00:30:00+00:00,2025-01-01 00:45:00+00:00,2026-03-18 07:21:42+00:00,66.9546,9.6,Open-Meteo historical hourly archive interpolated to 15 minutes
67738447092,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,11922252,2980563,0.198814,209032,0.0701317,2025-01-01 00:45:00+00:00,2025-01-01 01:00:00+00:00,2026-03-18 07:21:42+00:00,70.13170000000001,9.6,Open-Meteo historical hourly archive interpolated to 15 minutes
67738447093,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,11996512,2999128,0.200053,218448,0.0728372,2025-01-01 01:00:00+00:00,2025-01-01 01:15:00+00:00,2026-03-18 07:21:42+00:00,72.83720000000001,9.6,Open-Meteo historical hourly archive interpolated to 15 minutes
67738447094,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,11991304,2997826,0.199966,213320,0.0711582,2025-01-01 01:15:00+00:00,2025-01-01 01:30:00+00:00,2026-03-18 07:21:42+00:00,71.15820000000001,9.6,Open-Meteo historical hourly archive interpolated to 15 minutes
67738538168,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,11881372,2970343,0.198132,208389,0.0701565,2025-01-01 01:30:00+00:00,2025-01-01 01:45:00+00:00,2026-03-18 07:21:42+00:00,70.1565,9.6,Open-Meteo historical hourly archive interpolated to 15 minutes
67738804328,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,11924392,2981098,0.19885,207715,0.0696773,2025-01-01 01:45:00+00:00,2025-01-01 02:00:00+00:00,2026-03-18 07:21:42+00:00,69.6773,9.6,Open-Meteo historical hourly archive interpolated to 15 minutes
67738804329,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,11990908,2997727,0.199959,205432,0.0685293,2025-01-01 02:00:00+00:00,2025-01-01 02:15:00+00:00,2026-03-18 07:21:42+00:00,68.5293,9.6,Open-Meteo historical hourly archive interpolated to 15 minutes
67738804330,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,11983636,2995909,0.199837,205904,0.0687284,2025-01-01 02:15:00+00:00,2025-01-01 02:30:00+00:00,2026-03-18 07:21:42+00:00,68.7284,9.6,Open-Meteo historical hourly archive interpolated to 15 minutes
67738896091,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,11887720,2971930,0.198238,204890,0.0689417,2025-01-01 02:30:00+00:00,2025-01-01 02:45:00+00:00,2026-03-18 07:21:42+00:00,68.9417,9.6,Open-Meteo historical hourly archive interpolated to 15 minutes
67739163487,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,11771404,2942851,0.196298,205955,0.0699849,2025-01-01 02:45:00+00:00,2025-01-01 03:00:00+00:00,2026-03-18 07:21:42+00:00,69.9849,9.6,Open-Meteo historical hourly archive interpolated to 15 minutes
67739163488,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,11729200,2932300,0.195594,211164,0.0720131,2025-01-01 03:00:00+00:00,2025-01-01 03:15:00+00:00,2026-03-18 07:21:42+00:00,72.0131,9.6,Open-Meteo historical hourly archive interpolated to 15 minutes
67739163489,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,11781336,2945334,0.196463,211599,0.0718421,2025-01-01 03:15:00+00:00,2025-01-01 03:30:00+00:00,2026-03-18 07:21:42+00:00,71.8421,9.6,Open-Meteo historical hourly archive interpolated to 15 minutes
67739255937,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,11676468,2919117,0.194714,211835,0.0725682,2025-01-01 03:30:00+00:00,2025-01-01 03:45:00+00:00,2026-03-18 07:21:42+00:00,72.5682,9.6,Open-Meteo historical hourly archive interpolated to 15 minutes
67739524511,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,11642892,2910723,0.194154,209298,0.0719058,2025-01-01 03:45:00+00:00,2025-01-01 04:00:00+00:00,2026-03-18 07:21:42+00:00,71.9058,9.6,Open-Meteo historical hourly archive interpolated to 15 minutes
67739524512,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,11411176,2852794,0.19029,215112,0.075404,2025-01-01 04:00:00+00:00,2025-01-01 04:15:00+00:00,2026-03-18 07:21:42+00:00,75.404,9.6,Open-Meteo historical hourly archive interpolated to 15 minutes
67739524513,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,11297520,2824380,0.188395,215968,0.0764656,2025-01-01 04:15:00+00:00,2025-01-01 04:30:00+00:00,2026-03-18 07:21:42+00:00,76.4656,9.475,Open-Meteo historical hourly archive interpolated to 15 minutes
67739617648,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,11344236,2836059,0.189174,216528,0.0763482,2025-01-01 04:30:00+00:00,2025-01-01 04:45:00+00:00,2026-03-18 07:21:42+00:00,76.3482,9.35,Open-Meteo historical hourly archive interpolated to 15 minutes
67739887400,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,11342424,2835606,0.189143,215998,0.0761735,2025-01-01 04:45:00+00:00,2025-01-01 05:00:00+00:00,2026-03-18 07:21:42+00:00,76.1735,9.225,Open-Meteo historical hourly archive interpolated to 15 minutes
67739887401,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,11587428,2896857,0.193229,228335,0.0788216,2025-01-01 05:00:00+00:00,2025-01-01 05:15:00+00:00,2026-03-18 07:21:42+00:00,78.8216,9.1,Open-Meteo historical hourly archive interpolated to 15 minutes
67739887402,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,11646652,2911663,0.194216,228505,0.0784792,2025-01-01 05:15:00+00:00,2025-01-01 05:30:00+00:00,2026-03-18 07:21:42+00:00,78.4792,9.049999999999999,Open-Meteo historical hourly archive interpolated to 15 minutes
67739981222,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,11733032,2933258,0.195656,230260,0.0784997,2025-01-01 05:30:00+00:00,2025-01-01 05:45:00+00:00,2026-03-18 07:21:42+00:00,78.4997,9.0,Open-Meteo historical hourly archive interpolated to 15 minutes
67740196548,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,11580596,2895149,0.193114,226966,0.0783953,2025-01-01 05:45:00+00:00,2025-01-01 06:00:00+00:00,2026-03-18 07:21:42+00:00,78.3953,8.95,Open-Meteo historical hourly archive interpolated to 15 minutes
67740196549,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,11517264,2879316,0.192058,230270,0.0799739,2025-01-01 06:00:00+00:00,2025-01-01 06:15:00+00:00,2026-03-18 07:21:42+00:00,79.9739,8.9,Open-Meteo historical hourly archive interpolated to 15 minutes
67740382120,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,12092508,3023127,0.201651,231598,0.0766088,2025-01-01 06:15:00+00:00,2025-01-01 06:30:00+00:00,2026-03-18 07:21:42+00:00,76.6088,8.9,Open-Meteo historical hourly archive interpolated to 15 minutes
67741967157,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,12345828,3086457,0.205875,230750,0.0747621,2025-01-01 06:30:00+00:00,2025-01-01 06:45:00+00:00,2026-03-18 07:21:42+00:00,74.7621,8.9,Open-Meteo historical hourly archive interpolated to 15 minutes
67741967158,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,12376896,3094224,0.206393,232278,0.0750683,2025-01-01 06:45:00+00:00,2025-01-01 07:00:00+00:00,2026-03-18 07:21:42+00:00,75.06830000000001,8.9,Open-Meteo historical hourly archive interpolated to 15 minutes
67741967159,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,11440504,2860126,0.190778,234592,0.0820216,2025-01-01 07:00:00+00:00,2025-01-01 07:15:00+00:00,2026-03-18 07:21:42+00:00,82.0216,8.9,Open-Meteo historical hourly archive interpolated to 15 minutes
67742023485,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,11443760,2860940,0.190832,235121,0.0821831,2025-01-01 07:15:00+00:00,2025-01-01 07:30:00+00:00,2026-03-18 07:21:42+00:00,82.1831,8.875,Open-Meteo historical hourly archive interpolated to 15 minutes
67742118683,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,11524612,2881153,0.19218,235747,0.0818238,2025-01-01 07:30:00+00:00,2025-01-01 07:45:00+00:00,2026-03-18 07:21:42+00:00,81.8238,8.85,Open-Meteo historical hourly archive interpolated to 15 minutes
67742391925,Nederland,ElectricityMix,15 minutes,UTC,Providing,Current,11487104,2871776,0.191554,238254,0.082964,2025-01-01 07:45:00+00:00,2025-01-01 08:00:00+00:00,2026-03-18 07:21:42+00:00,82.964,8.825000000000001,Open-Meteo historical hourly archive interpolated to 15 minutes
